concept_class,pcornet_code,pcornet_desc,pedsnet_concept_id,pedsnet_concept_name,pedsnet_value_as_concept_id
Language,AAR,Afar,,,
Language,ABK,Abkhazian,,,
Language,ACE,Achinese,,,
Language,ACH,Acoli,,,
Language,ADA,Adangme,,,
Language,ADY,Adyghe; Adygei,,,
Language,AFR,Afrikaans,,,
Language,AIN,Ainu,,,
Language,AKA,Akan,,,
Language,ALE,Aleut,,,
Language,ALT,Southern Altai,,,
Language,AMH,Amharic,4182354,Amharic language,
Language,ANP,Angika,,,
Language,ARA,Arabic,4181374,Arabic language,
Language,ARG,Aragonese,,,
Language,ARN,Mapudungun; Mapuche,,,
Language,ARP,Arapaho,,,
Language,ARW,Arawak,,,
Language,ASM,Assamese,,,
Language,AST,Asturian; Bable; Leonese; Asturleonese,,,
Language,AVA,Avaric,,,
Language,AWA,Awadhi,,,
Language,AYM,Aymara,,,
Language,AZE,Azerbaijani,,,
Language,BAK,Bashkir,,,
Language,BAL,Baluchi,,,
Language,BAM,Bambara,,,
Language,BAN,Balinese,,,
Language,BAS,Basa,,,
Language,BEJ,Beja; Bedawiyet,,,
Language,BEL,Belarusian,,,
Language,BEM,Bemba,,,
Language,BEN,Bengali,4052786,Bengali language,
Language,BHO,Bhojpuri,,,
Language,BIK,Bikol,,,
Language,BIN,Bini; Edo,,,
Language,BIS,Bislama,,,
Language,BLA,Siksika,,,
Language,BOD,Tibetan,,,
Language,BOS,Bosnian,40481563,Bosnian language,
Language,BRA,Braj,,,
Language,BRE,Breton,,,
Language,BUA,Buriat,,,
Language,BUG,Buginese,,,
Language,BUL,Bulgarian,,,
Language,BYN,Bilin; Blin,,,
Language,CAD,Caddo,,,
Language,CAR,Galibi Carib,,,
Language,CAT,Catalan; Valencian,,,
Language,CEB,Cebuano,,,
Language,CES,Czech,,,
Language,CHA,Chamorro,,,
Language,CHE,Chechen,,,
Language,CHK,Chuukese,,,
Language,CHM,Mari,,,
Language,CHN,Chinook jargon,,,
Language,CHO,Choctaw,,,
Language,CHP,Chipewyan; Dene Suline,,,
Language,CHR,Cherokee,,,
Language,CHV,Chuvash,,,
Language,CHY,Cheyenne,,,
Language,COR,Cornish,,,
Language,COS,Corsican,,,
Language,CRE,Cree,,,
Language,CRH,Crimean Tatar; Crimean Turkish,,,
Language,CSB,Kashubian,,,
Language,CYM,Welsh,,,
Language,DAK,Dakota,,,
Language,DAN,Danish,,,
Language,DAR,Dargwa,,,
Language,DEL,Delaware,,,
Language,DEN,Slave (Athapascan),,,
Language,DEU,German,,,
Language,DGR,Dogrib,,,
Language,DIN,Dinka,,,
Language,DIV,Dhivehi; Dhivehi; Maldivian,,,
Language,DOI,Dogri,,,
Language,DSB,Lower Sorbian,,,
Language,DUA,Duala,,,
Language,DYU,Dyula,,,
Language,DZO,Dzongkha,,,
Language,EFI,Efik,,,
Language,EKA,Ekajuk,,,
Language,ELL,Modern Greek (1453–),,,
Language,ENG,English,4180186,English Language,
Language,EST,Estonian,,,
Language,EUS,Basque,,,
Language,EWE,Ewe,,,
Language,EWO,Ewondo,,,
Language,FAN,Fang,,,
Language,FAO,Faroese,,,
Language,FAS,Persian,,,
Language,FAT,Fanti,,,
Language,FIJ,Fijian,,,
Language,FIL,Filipino; Pilipino,,,
Language,FIN,Finnish,,,
Language,FON,Fon,,,
Language,FRA,French,4180190,French Language,
Language,FRR,Northern Frisian,,,
Language,FRS,Eastern Frisian,,,
Language,FRY,Western Frisian,,,
Language,FUL,Fulah,,,
Language,FUR,Friulian,,,
Language,GAA,Ga,,,
Language,GAY,Gayo,,,
Language,GBA,Gbaya,,,
Language,GIL,Gilbertese,,,
Language,GLA,Gaelic; Scottish Gaelic,,,
Language,GLE,Irish,,,
Language,GLG,Galician,,,
Language,GLV,Manx,,,
Language,GON,Gondi,,,
Language,GOR,Gorontalo,,,
Language,GRB,Grebo,,,
Language,GRN,Guarani,,,
Language,GSW,Swiss German; Alemannic; Alsatian,,,
Language,GUJ,Gujarati,,,
Language,GWI,Gwichʼin,,,
Language,HAI,Haida,,,
Language,HAT,Haitian; Haitian Creole,44802876,Haitian Creole Language,
Language,HAU,Hausa,,,
Language,HAW,Hawaiian,,,
Language,HEB,Hebrew,,,
Language,HER,Herero,,,
Language,HIL,Hiligaynon,,,
Language,HIN,Hindi,,,
Language,HMN,Hmong; Mong,,,
Language,HMO,Hiri Motu,,,
Language,HRV,Croatian,,,
Language,HSB,Upper Sorbian,,,
Language,HUN,Hungarian,,,
Language,HUP,Hupa,,,
Language,HYE,Armenian,,,
Language,IBA,Iban,,,
Language,IBO,Igbo,,,
Language,III,Sichuan Yi; Nuosu,,,
Language,IKU,Inuktitut,,,
Language,ILO,Iloko,,,
Language,IND,Indonesian,,,
Language,INH,Ingush,,,
Language,IPK,Inupiaq,,,
Language,ISL,Icelandic,,,
Language,ITA,Italian,,,
Language,JAV,Javanese,,,
Language,JPN,Japanese,4181524,Japanese Language,
Language,JPR,Judeo-Persian,,,
Language,JRB,Judeo-Arabic,,,
Language,KAA,Kara-Kalpak,,,
Language,KAB,Kabyle,,,
Language,KAC,Kachin; Jingpho,,,
Language,KAL,Kalaallisut; Greenlandic,,,
Language,KAM,Kamba,,,
Language,KAN,Kannada,,,
Language,KAS,Kashmiri,,,
Language,KAT,Georgian,,,
Language,KAU,Kanuri,,,
Language,KAZ,Kazakh,,,
Language,KBD,Kabardian,,,
Language,KHA,Khasi,,,
Language,KHM,Central Khmer,,,
Language,KIK,Kikuyu; Gikuyu,,,
Language,KIN,Kinyarwanda,,,
Language,KIR,Kirghiz; Kyrgyz,,,
Language,KMB,Kimbundu,,,
Language,KOK,Konkani,,,
Language,KOM,Komi,,,
Language,KON,Kongo,,,
Language,KOR,Korean,4175771,Korean Language,
Language,KOS,Kosraean,,,
Language,KPE,Kpelle,,,
Language,KRC,Karachay-Balkar,,,
Language,KRL,Karelian,,,
Language,KRU,Kurukh,,,
Language,KUA,Kuanyama; Kwanyama,,,
Language,KUM,Kumyk,,,
Language,KUR,Kurdish,,,
Language,KUT,Kutenai,,,
Language,LAD,Ladino,,,
Language,LAH,Lahnda,,,
Language,LAM,Lamba,,,
Language,LAO,Lao,,,
Language,LAV,Latvian,,,
Language,LEZ,Lezghian,,,
Language,LIM,Limburgan; Limburger; Limburgish,,,
Language,LIN,Lingala,,,
Language,LIT,Lithuanian,,,
Language,LOL,Mongo,,,
Language,LOZ,Lozi,,,
Language,LTZ,Luxembourgish; Letzeburgesch,,,
Language,LUA,Luba-Lulua,,,
Language,LUB,Luba-Katanga,,,
Language,LUG,Ganda,,,
Language,LUI,Luiseno,,,
Language,LUN,Lunda,,,
Language,LUO,Luo (Kenya and Tanzania),,,
Language,LUS,Lushai,,,
Language,MAD,Madurese,,,
Language,MAG,Magahi,,,
Language,MAH,Marshallese,,,
Language,MAI,Maithili,,,
Language,MAK,Makasar,,,
Language,MAL,Malayalam,,,
Language,MAN,Mandingo,,,
Language,MAR,Marathi,,,
Language,MAS,Masai,,,
Language,MDF,Moksha,,,
Language,MDR,Mandar,,,
Language,MEN,Mende,,,
Language,MIC,Mi'kmaq; Micmac,,,
Language,MIN,Minangkabau,,,
Language,MKD,Macedonian,,,
Language,MLG,Malagasy,,,
Language,MLT,Maltese,,,
Language,MNC,Manchu,,,
Language,MNI,Manipuri,,,
Language,MOH,Mohawk,,,
Language,MON,Mongolian,,,
Language,MOS,Mossi,,,
Language,MRI,Maori,,,
Language,MSA,Malay,,,
Language,MUS,Creek,,,
Language,MWL,Mirandese,,,
Language,MWR,Marwari,,,
Language,MYA,Burmese,4181727,Burmese language,
Language,MYV,Erzya,,,
Language,NAP,Neapolitan,,,
Language,NAU,Nauru,,,
Language,NAV,Navajo; Navaho,,,
Language,NBL,South Ndebele,,,
Language,NDE,North Ndebele,,,
Language,NDO,Ndonga,,,
Language,NDS,Low German; Low Saxon,,,
Language,NEP,Nepali,4175908,Nepali language,
Language,NEW,Nepal Bhasa; Newari,,,
Language,NIA,Nias,,,
Language,NIU,Niuean,,,
Language,NLD,Dutch; Flemish,,,
Language,NNO,Norwegian Nynorsk,,,
Language,NOB,Norwegian Bokmål,,,
Language,NOG,Nogai,,,
Language,NOR,Norwegian,,,
Language,NQO,N'Ko,,,
Language,NSO,Pedi; Sepedi; Northern Sotho,,,
Language,NYA,Chichewa; Chewa; Nyanja,,,
Language,NYM,Nyamwezi,,,
Language,NYN,Nyankole,,,
Language,NYO,Nyoro,,,
Language,NZI,Nzima,,,
Language,OCI,Occitan (post 1500),,,
Language,OJI,Ojibwa,,,
Language,ORI,Oriya,,,
Language,ORM,Oromo,,,
Language,OSA,Osage,,,
Language,OSS,Ossetian; Ossetic,,,
Language,PAG,Pangasinan,,,
Language,PAM,Pampanga; Kapampangan,,,
Language,PAN,Panjabi; Punjabi,,,
Language,PAP,Papiamento,,,
Language,PAU,Palauan,,,
Language,POL,Polish,,,
Language,PON,Pohnpeian,,,
Language,POR,Portuguese,4181536,Portuguese language,
Language,PUS,Pushto; Pashto,,,
Language,QUE,Quechua,,,
Language,RAJ,Rajasthani,,,
Language,RAP,Rapanui,,,
Language,RAR,Rarotongan; Cook Islands Maori,,,
Language,ROH,Romansh,,,
Language,ROM,Romany,,,
Language,RON,Romanian; Moldavian; Moldovan,,,
Language,RUN,Rundi,,,
Language,RUP,Aromanian; Arumanian; Macedo-Romanian,,,
Language,RUS,Russian,4181539,Russian language,
Language,SAD,Sandawe,,,
Language,SAG,Sango,,,
Language,SAH,Yakut,,,
Language,SAS,Sasak,,,
Language,SAT,Santali,,,
Language,SCN,Sicilian,,,
Language,SCO,Scots,,,
Language,SEL,Selkup,,,
Language,SHN,Shan,,,
Language,SID,Sidamo,,,
Language,SIN,Sinhala; Sinhalese,,,
Language,SLK,Slovak,,,
Language,SLV,Slovenian,,,
Language,SMA,Southern Sami,,,
Language,SME,Northern Sami,,,
Language,SMJ,Lule Sami,,,
Language,SMN,Inari Sami,,,
Language,SMO,Samoan,,,
Language,SMS,Skolt Sami,,,
Language,SNA,Shona,,,
Language,SND,Sindhi,,,
Language,SNK,Soninke,,,
Language,SOM,Somali,4182350,Somali language,
Language,SOT,Southern Sotho,,,
Language,SPA,Spanish; Castilian,4182511,Spanish language,
Language,SQI,Albanian,,,
Language,SRD,Sardinian,,,
Language,SRN,Sranan Tongo,,,
Language,SRP,Serbian,,,
Language,SRR,Serer,,,
Language,SSW,Swati,,,
Language,SUK,Sukuma,,,
Language,SUN,Sundanese,,,
Language,SUS,Susu,,,
Language,SWA,Swahili,,,
Language,SWE,Swedish,,,
Language,SYR,Syriac,,,
Language,TAH,Tahitian,,,
Language,TAM,Tamil,,,
Language,TAT,Tatar,,,
Language,TEL,Telugu,,,
Language,TEM,Timne,,,
Language,TER,Tereno,,,
Language,TET,Tetum,,,
Language,TGK,Tajik,,,
Language,TGL,Tagalog,,,
Language,THA,Thai,,,
Language,TIG,Tigre,,,
Language,TIR,Tigrinya,,,
Language,TIV,Tiv,,,
Language,TKL,Tokelau,,,
Language,TLI,Tlingit,,,
Language,TMH,Tamashek,,,
Language,TOG,Tonga (Nyasa),,,
Language,TON,Tonga (Tonga Islands),,,
Language,TPI,Tok Pisin,,,
Language,TSI,Tsimshian,,,
Language,TSN,Tswana,,,
Language,TSO,Tsonga,,,
Language,TUK,Turkmen,,,
Language,TUM,Tumbuka,,,
Language,TUR,Turkish,,,
Language,TVL,Tuvalua,,,
Language,TWI,Twi,,,
Language,TYV,Tuvinian,,,
Language,UDM,Udmurt,,,
Language,UIG,Uighur; Uyghur,,,
Language,UKR,Ukrainian,,,
Language,UMB,Umbundu,,,
Language,URD,Urdu,,,
Language,UZB,Uzbek,,,
Language,VAI,Vai,,,
Language,VEN,Venda,,,
Language,VIE,Vietnamese,4181526,Vietnamese language,
Language,VOT,Votic,,,
Language,WAL,Wolaitta; Wolaytta,,,
Language,WAR,Waray,,,
Language,WAS,Washo,,,
Language,WLN,Walloon,,,
Language,WOL,Wolof,,,
Language,XAL,Kalmyk; Oirat,,,
Language,XHO,Xhosa,,,
Language,YAO,Yao,,,
Language,YAP,Yapese,,,
Language,YID,Yiddish,,,
Language,YOR,Yoruba,,,
Language,ZAP,Zapotec,,,
Language,ZEN,Zenaga,,,
Language,ZGH,Standard Moroccan Tamazight,,,
Language,ZHA,Zhuang; Chuang,,,
Language,ZHO,Chinese,4182948,Chinese Language,
Language,ZHO,Chinese,4177463,Cantonese Chinese dialect,
Language,ZHO,Chinese,4181724,Mandarin dialect,
Language,ZUL,Zulu,,,
Language,ZUN,Zuni,,,
Language,ZZA,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,,
Language,NI,No information,44814650,No information,
Language,UN,Unknown,44814653,Unknown,
Language,OT,Other,44814649,Other,
Language,OT,Other,40483152,Sign language,