concept_class,pcornet_code,pcornet_desc,pedsnet_code,pedsnet_name
Result unit,%,percent,8554,percent
Result unit,[APL'U]/mL,IgA anticardiolipin unit per milliliter**,9684,IgA Phospholipid Units Per MilliLiter [Arbitrary Concentration Units]
Result unit,[arb'U],arbitrary unit,9260,arbitrary unit
Result unit,[arb'U]/mL,arbitrary unit per milliliter,8980,arbitrary unit per milliliter
Result unit,[GPL'U]/mL,IgG anticardiolipin unit per milliliter**,9685,IgG Phospholipid Units Per MilliLiter [Arbitrary Concentration Units]
Result unit,[IU]/L,international unit per liter,8923,international unit per liter
Result unit,[IU]/mL,international unit per milliliter,8985,international unit per milliliter
Result unit,[lb_av],pound (US and British),8739,pound (US)
Result unit,[MPL'U]/mL,IgM anticardiolipin unit per milliliter**,9686,IgM Phospholipid Units Per MilliLiter [Arbitrary Concentration Units]
Result unit,[pH],pH,8482,pH
Result unit,{#},number,,
Result unit,{#}/[HPF],number per high power field,,
Result unit,{#}/L,number per liter,,
Result unit,{#}/mL,number per milliliter,,
Result unit,{#}/uL,number per microliter,,
Result unit,{APS'U},IgA antiphosphatidylserine unit,8542,anti-phosphatidylserine IgA concentration (APS) unit
Result unit,{clock_time},clock time e.g 12:30PM,,
Result unit,{copies},copies,,
Result unit,{copies}/mL,copies per milliliter,8799,copies per milliliter
Result unit,{INR},international normalized ratio,,
Result unit,{Log_copies}/mL,log (base 10) copies per milliliter,8873,log copies per milliliter
Result unit,{MPS'U},IgM antiphosphatidylserine unit,8495,anti-phosphatidylserine IgM concentration (MPS) unit
Result unit,{ratio},ratio,8523,ratio
Result unit,{titer},titer,8525,titer
Result unit,10*3/uL,thousand per microliter,8848,thousand per microliter
Result unit,10*6/L,million per liter,9442,million per liter
Result unit,10*6/mL,million per milliliter,8816,million per milliliter
Result unit,10*6/uL,million per microliter,8815,million per microliter
Result unit,A,ampere,8543,ampere
Result unit,a,year,8528,year
Result unit,Cel,degree Celsius,8653,degree Celsius
Result unit,d,day,8512,day
Result unit,fL,femtoliter,8583,femtoliter
Result unit,g,gram,8504,gram
Result unit,g/(24.h),gram per 24 hour,8807,gram per 24 hours
Result unit,g/dL,gram per deciliter,8713,gram per deciliter
Result unit,g/L,gram per liter,8636,gram per liter
Result unit,H,Henry,8518,Henry
Result unit,h,hour,8505,hour
Result unit,k[IU]/L,kilo international unit per liter,9058,kilo-international unit per liter
Result unit,k[IU]/mL,kilo international unit per milliliter,9525,kilo-international unit per milliliter
Result unit,kg,kilogram,9529,kilogram
Result unit,L,liter,8519,liter
Result unit,L/min,liter per minute,8698,liter per minute
Result unit,m[IU]/L,milli international unit per liter,9040,milli-international unit per liter
Result unit,m[IU]/mL,milli  international unit per milliliter,9550,milli-international unit per milliliter
Result unit,m2,square meter,8617,square meter
Result unit,mg,milligram,8576,milligram
Result unit,mg/(24.h),milligram per 24 hour,8909,milligram per 24 hours
Result unit,mg/dL,milligram per deciliter,8840,milligram per deciliter
Result unit,mg/g,milligram per gram,8723,milligram per gram
Result unit,mg/g{creat},milligram per gram of creatinine,9017,milligram per gram of creatinine
Result unit,mg/L,milligram per liter,8751,milligram per liter
Result unit,min,minute,8550,minute
Result unit,mL,milliliter,8587,milliliter
Result unit,mL/min,milliliter per minute,8795,milliliter per minute
Result unit,mm/h,millimeter per hour,8752,millimeter per hour
Result unit,mm[Hg],millimeter of mercury,8876,millimeter mercury column
Result unit,mmol/(24.h),millimole per 24 hour,8910,millimole per 24 hours
Result unit,mmol/L,millimole per liter,8753,millimole per liter
Result unit,mol/L,mole per liter,9586,mole per liter
Result unit,mosm/kg,milliosmole per kilogram,8862,milliosmole per kilogram
Result unit,mU/L,milli enzyme unit per liter,,
Result unit,mU/mL,milli  enzyme unit per milliliter,,
Result unit,ng/dL,nanogram per deciliter,8817,nanogram per deciliter
Result unit,ng/L,nanogram per liter,8725,nanogram per liter
Result unit,ng/mL,nanogram per millliiter,8842,nanogram per milliliter
Result unit,ng/mL/h,nanogram per milliliter per hour,9020,nanogram per milliliter and hour
Result unit,nmol/L,nanomole per liter,8736,nanomole per liter
Result unit,nmol/mL,nanomole per milliliter,8843,nanomole per milliliter
Result unit,nmol/mL/min,nanomole per milliliter per minute,,
Result unit,pg,picogram,8564,picogram
Result unit,pg/L,picogram per liter,9625,picogram per liter
Result unit,pg/mL,picogram per milliliter,9626,picogram per millimeter
Result unit,S,Siemens,9639,siemens
Result unit,s,second,8555,second
Result unit,U/dL,enzyme unit per deciliter,,
Result unit,U/g{Hb},enzyme unit per gram of hemoglobin,,
Result unit,U/L,enzyme unit per liter,,
Result unit,U/mL,enzyme unit per milliliter,,
Result unit,u[IU]/mL,micro international unit per milliliter,9093,micro-international unit per milliliter
Result unit,ug/(24.h),microgram per 24 hour,8906,microgram per 24 hours
Result unit,ug/dL,microgram per deciliter,8837,microgram per deciliter
Result unit,ug/L,microgram per liter,8748,microgram per liter
Result unit,ug/mL,microgram per milliliter,8859,microgram per milliliter
Result unit,um/s,microns per second,,
Result unit,umol/(24.h),micromole per 24 hour,8907,micromole per 24 hours
Result unit,umol/L,micromole per liter,8749,micromole per liter
Result unit,wk,week,8511,week
Result unit,NI,No information,44814650,No information
Result unit,UN,Unknown,44814653,Unknown
Result unit,OT,Other,0,No matching concept
Result unit,OT,Other,44814649,Other