class,pcornet_code,pcornet_name,pedsnet_code,pedsnet_name,value_as_concept_id
Facility type,ADULT_DAY_CARE_CENTER,OTHER_CARE_SITE-subset,8882,Adult Living Care Facility,
Facility type,AMBULANCE _BASED_CARE,OTHER_OUTPATIENT_CARE_SITE-subset,8850,Ambulance - Air or Water,
Facility type,AMBULANCE _BASED_CARE,OTHER_OUTPATIENT_CARE_SITE-subset,8668,Ambulance - Land,
Facility type,AMBULATORY_CARE_SITE _OTHER_,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,AMBULATORY_SURGERY_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,8883,Ambulatory Surgical Center,
Facility type,CARE_OF_THE_ELDERLY_DAY_HOSPITAL,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,CHILD_DAY_CARE_CENTER,OTHER_CARE_SITE-subset,,,
Facility type,CONTAINED_CASUALTY_SETTING,OTHER_OUTPATIENT_CARE_SITE-subset,,,
Facility type,DIALYSIS_UNIT_HOSPITAL,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,,,
Facility type,ELDERLY_ASSESSMENT_CLINIC,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,EMERGENCY_DEPARTMENT_HOSPITAL,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,8870,Emergency Room - Hospital,
Facility type,EMERGENCY_DEPARTMENT_HOSPITAL,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9203,Emergency department,
Facility type,FEE _FOR _SERVICE_PRIVATE_PHYSICIANS_GROUP_OFFICE,INDEPENDENT_PROVIDER_OF_OUTPATIENT_AMBULATORY_CARE-subset,,,
Facility type,FREE _STANDING_AMBULATORY_SURGERY_FACILITY,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,FREE _STANDING_BIRTHING_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,FREE _STANDING_GERIATRIC_HEALTH_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,FREE _STANDING_LABORATORY_FACILITY,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,FREE _STANDING_MENTAL_HEALTH_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,FREE _STANDING_RADIOLOGY_FACILITY,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,HEALTH_ENCOUNTER_SITE_NOT_LISTED,OTHER_CARE_SITE-subset,,,
Facility type,HEALTH_MAINTENANCE_ORGANIZATION,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,HELICOPTER _BASED_CARE,OTHER_OUTPATIENT_CARE_SITE-subset,,,
Facility type,HOSPICE_FACILITY,INPATIENT_HEALTH_FACILITY_CARE-subset,8546,Hospice,
Facility type,HOSPITAL _BASED_OUTPATIENT_CLINIC_OR_DEPARTMENT_OTHER,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,,,
Facility type,HOSPITAL _CHILDRENS,INPATIENT_HEALTH_FACILITY_CARE-subset,,,
Facility type,HOSPITAL _COMMUNITY,INPATIENT_HEALTH_FACILITY_CARE-subset,,,
Facility type,HOSPITAL _GOVERNMENT,INPATIENT_HEALTH_FACILITY_CARE-subset,,,
Facility type,HOSPITAL _LONG_TERM_CARE,INPATIENT_HEALTH_FACILITY_CARE-subset,42898160,long term care visit,
Facility type,HOSPITAL _MILITARY_FIELD,INPATIENT_HEALTH_FACILITY_CARE-subset,8905,Military Treatment Facility,
Facility type,HOSPITAL _PRISON,INPATIENT_HEALTH_FACILITY_CARE-subset,38003619,Prison/Correctional Facility,
Facility type,HOSPITAL _PSYCHIATRIC,INPATIENT_HEALTH_FACILITY_CARE-subset,8971,Inpatient Psychiatric Facility,
Facility type,HOSPITAL _REHABILITATION,INPATIENT_HEALTH_FACILITY_CARE-subset,8920,Comprehensive Inpatient Rehabilitation Facility,
Facility type,HOSPITAL _TRAUMA_CENTER,INPATIENT_HEALTH_FACILITY_CARE-subset,,,
Facility type,HOSPITAL _VETERANS_ADMINISTRATION,INPATIENT_HEALTH_FACILITY_CARE-subset,,,
Facility type,HOSPITAL_AMBULATORY_SURGERY_FACILITY,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,8883,Ambulatory Surgical Center,
Facility type,HOSPITAL_BIRTHING_CENTER,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,8650,Birthing Center,
Facility type,HOSPITAL_OUTPATIENT_ALLERGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004448
Facility type,HOSPITAL_OUTPATIENT_DENTAL_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004218
Facility type,HOSPITAL_OUTPATIENT_DERMATOLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004452
Facility type,HOSPITAL_OUTPATIENT_ENDOCRINOLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004485
Facility type,HOSPITAL_OUTPATIENT_FAMILY_MEDICINE_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004453
Facility type,HOSPITAL_OUTPATIENT_GASTROENTEROLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004455
Facility type,HOSPITAL_OUTPATIENT_GASTROENTEROLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,45756810
Facility type,HOSPITAL_OUTPATIENT_GENERAL_SURGERY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004447
Facility type,HOSPITAL_OUTPATIENT_GERIATRIC_HEALTH_CENTER,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004478
Facility type,HOSPITAL_OUTPATIENT_GYNECOLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,
Facility type,HOSPITAL_OUTPATIENT_HEMATOLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004501
Facility type,HOSPITAL_OUTPATIENT_IMMUNOLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004448
Facility type,HOSPITAL_OUTPATIENT_INFECTIOUS_DISEASE_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004484
Facility type,HOSPITAL_OUTPATIENT_MENTAL_HEALTH_CENTER,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004230
Facility type,HOSPITAL_OUTPATIENT_NEUROLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004458
Facility type,HOSPITAL_OUTPATIENT_OBSTETRICAL_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,
Facility type,HOSPITAL_OUTPATIENT_ONCOLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004507
Facility type,HOSPITAL_OUTPATIENT_ONCOLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004508
Facility type,HOSPITAL_OUTPATIENT_ONCOLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004509
Facility type,HOSPITAL_OUTPATIENT_OPHTHALMOLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004463
Facility type,HOSPITAL_OUTPATIENT_ORTHOPEDICS_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,45756794
Facility type,HOSPITAL_OUTPATIENT_OTORHINOLARYNGOLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,
Facility type,HOSPITAL_OUTPATIENT_PAIN_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004494
Facility type,HOSPITAL_OUTPATIENT_PEDIATRIC_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004477
Facility type,HOSPITAL_OUTPATIENT_PERIPHERAL_VASCULAR_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004495
Facility type,HOSPITAL_OUTPATIENT_REHABILITATION_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,45756817
Facility type,HOSPITAL_OUTPATIENT_REHABILITATION_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004257
Facility type,HOSPITAL_OUTPATIENT_REHABILITATION_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004256
Facility type,HOSPITAL_OUTPATIENT_REHABILITATION_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004255
Facility type,HOSPITAL_OUTPATIENT_REHABILITATION_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004254
Facility type,HOSPITAL_OUTPATIENT_RESPIRATORY_DISEASE_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,
Facility type,HOSPITAL_OUTPATIENT_RHEUMATOLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004491
Facility type,HOSPITAL_OUTPATIENT_UROLOGY_CLINIC,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,43125861
Facility type,HOSPITAL_RADIOLOGY_FACILITY,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,45756825
Facility type,HOSPITAL_RADIOLOGY_FACILITY,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004253
Facility type,HOSPITAL_RADIOLOGY_FACILITY,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004252
Facility type,HOSPITAL_RADIOLOGY_FACILITY,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004251
Facility type,HOSPITAL_RADIOLOGY_FACILITY,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9202,Ambulatory Visit,38004250
Facility type,HOSPITAL_SHIP,OTHER_OUTPATIENT_CARE_SITE-subset,,,
Facility type,INDEPENDENT_AMBULATORY_CARE_PROVIDER_SITE _OTHER,INDEPENDENT_PROVIDER_OF_OUTPATIENT_AMBULATORY_CARE-subset,8716,Independent Clinic,
Facility type,LOCAL_COMMUNITY_HEALTH_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,NURSING_HOME,INPATIENT_HEALTH_FACILITY_CARE-subset,8676,Nursing Facility,
Facility type,PRIVATE_PHYSICIANS_GROUP_OFFICE,INDEPENDENT_PROVIDER_OF_OUTPATIENT_AMBULATORY_CARE-subset,8940,Office,
Facility type,PRIVATE_RESIDENTIAL_HOME,OTHER_CARE_SITE-subset,8536,Home,
Facility type,PSYCHOGERIATRIC_DAY_HOSPITAL,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,RESIDENTIAL_INSTITUTION,OTHER_CARE_SITE-subset,,,
Facility type,RESIDENTIAL_SCHOOL_INFIRMARY,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,8537,School,
Facility type,RURAL_HEALTH_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,8761,Rural Health Clinic,
Facility type,SEXUALLY_TRANSMITTED_DISEASE_HEALTH_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,SKILLED_NURSING_FACILITY,INPATIENT_HEALTH_FACILITY_CARE-subset,8863,Skilled Nursing Facility,
Facility type,SOLO_PRACTICE_PRIVATE_OFFICE,INDEPENDENT_PROVIDER_OF_OUTPATIENT_AMBULATORY_CARE-subset,,,
Facility type,SPORTS_FACILITY,OTHER_CARE_SITE-subset,,,
Facility type,SUBSTANCE_ABUSE_TREATMENT_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,8974,Non-residential Substance Abuse Treatment Facility,
Facility type,TRAVELERS_AID_CLINIC,OTHER_OUTPATIENT_CARE_SITE-subset,,,
Facility type,VACCINATION_CLINIC,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,WALK _IN_CLINIC,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,38003620,Walk-in Retail Health Clinic,
Facility type,NI,No information,44814650,No information,
Facility type,UN,Unknown,44814653,Unknown,
Facility type,OT,Other,44814649,Other,
